Time	R_GnRH_a	R_GnRH_i	GnRH_R_i	GnRH	LH_bld	AF3	FSH_bld	AF4	InhB	LH_Pit	Lut1	Lut3	OvF	P4	R_FSH_des	R_Foll	AF1	R_LH_des	Sc1	InhA_delay	FSH_pit	E2	PrF	GnRH_R_a	InhA	Lut4	FSH_R	R_LH	AF2	Sc2	Lut2	R_FSH	LH_R	freq	mass
25	0.00928274	0.000932777	4.33108E-06	0.00107285	2.65103	0.334916	2.85551	1.05145E-05	40.0826	258662	0.000441146	0.017098	9.70844E-20	7.19298	1.13276	0.0674204	2.12041	0.693556	6.46339E-07	130.333	34664.6	95.8168	0.210494	4.76306E-06	2.7381	0.0444416	0.500188	8.41764	15.24	5.09475E-05	0.00343439	6.86705	0.260803	0.43336	0.0014011
26	0.00928687	0.000933612	4.77966E-06	0.00119169	2.65931	0.356782	3.07152	1.12658E-05	43.5274	259459	0.000194151	0.0106754	1.11198E-19	5.28554	1.20016	0.0764801	2.15815	0.695481	1.90705E-07	115.929	37195.9	75.0846	0.210517	5.29104E-06	2.00888	0.0321244	0.530254	8.41499	16.5776	1.98104E-05	0.00179696	6.76958	0.261533	0.784306	0.00121754
27	0.00928693	0.000935426	6.63164E-06	0.00166395	2.67277	0.382075	3.45787	1.21955E-05	47.3721	260752	8.44512E-05	0.00651859	1.39534E-19	3.78645	1.31658	0.093793	2.24753	0.698617	5.62683E-08	101.728	41649.3	59.0351	0.210547	7.38539E-06	1.49014	0.0225551	0.58199	8.41066	18.0641	7.6781E-06	0.000924298	6.60143	0.262719	1.46034	0.00115798
28	0.00927956	0.000939006	1.10324E-05	0.00278173	2.69235	0.412483	4.02844	1.3426E-05	51.8721	262630	3.63778E-05	0.00390846	1.81237E-19	2.66479	1.47891	0.116907	2.37538	0.70318	1.66022E-08	88.4088	47991.5	47.3409	0.210588	1.23341E-05	1.13198	0.0154582	0.6539	8.40438	19.8016	2.96861E-06	0.000468808	6.36719	0.264443	2.69754	0.00119048
29	0.00925883	0.000945763	2.00046E-05	0.00505985	2.71882	0.44985	4.74475	1.5093E-05	57.23	265145	1.55417E-05	0.0023084	2.33288E-19	1.85681	1.66764	0.142468	2.49601	0.709341	4.89855E-09	76.3471	55123.9	39.3219	0.210645	2.23841E-05	0.890573	0.0103817	0.737285	8.39589	21.8691	1.14564E-06	0.000235032	6.09508	0.266769	4.71382	0.00127067
30	0.00921878	0.000957109	3.55402E-05	0.00901077	2.7559	0.496175	5.5609	1.73996E-05	63.4837	268294	6.59361E-06	0.00134637	3.26166E-19	1.2921	1.8641	0.187208	2.56351	0.717923	1.44534E-09	65.6967	60827.1	34.2114	0.210727	3.96944E-05	0.731047	0.0068537	0.824014	8.38406	24.2814	4.41502E-07	0.000116691	5.81189	0.270018	7.40951	0.0013576
31	0.00916006	0.000972812	5.72622E-05	0.0145594	2.83862	0.554827	6.50048	2.14194E-05	70.5326	272017	2.78051E-06	0.000777046	5.9017E-19	0.906966	2.06875	0.294059	2.56356	0.736759	4.26454E-10	56.4663	63299.4	31.3287	0.210872	6.37412E-05	0.627357	0.00445883	0.914386	8.35803	26.9997	1.69962E-07	5.74629E-05	5.51687	0.277216	10.183	0.00142303
32	0.0090935	0.000990085	8.1228E-05	0.0207257	3.11207	0.632884	7.51507	3.33982E-05	78.209	276170	1.16627E-06	0.000444476	1.49957E-18	0.649557	2.26824	0.465838	2.50749	0.79823	1.25827E-10	48.5775	62786.7	30.2574	0.211211	9.00964E-05	0.560946	0.00286438	1.00221	8.27307	29.9594	6.53755E-08	2.80987E-05	5.22956	0.300697	12.3743	0.00145095
33	0.00903384	0.00100518	0.000102218	0.0261688	3.76228	0.747955	8.30105	7.66516E-05	86.2178	280511	4.86736E-07	0.000252273	5.94842E-18	0.48037	2.41005	0.668216	2.43068	0.940835	3.71256E-11	41.9062	60358.5	30.9598	0.212351	0.000113031	0.519195	0.0018198	1.06419	8.07641	33.0463	2.51308E-08	1.36542E-05	5.02576	0.354756	13.7902	0.00143241
34	0.00899121	0.00101558	0.00011674	0.0299529	4.65125	0.947635	8.57924	0.000202116	94.1462	284783	2.02156E-07	0.0001422	2.88173E-17	0.370734	2.45871	0.880701	2.37653	1.12704	1.0954E-11	36.3119	56899.6	33.6174	0.217155	0.000128783	0.494597	0.0011448	1.08497	7.8202	36.1013	9.65584E-09	6.59742E-06	4.95633	0.424752	14.6059	0.00137
35	0.0089681	0.00102074	0.000124078	0.0318617	5.33018	1.30488	8.3449	0.00044065	101.603	288893	8.35981E-08	7.96789E-05	1.47351E-16	0.300575	2.42029	1.09619	2.36482	1.26286	3.23201E-12	31.6612	53049	38.3788	0.234072	0.00013665	0.485197	0.000713943	1.06747	7.63377	38.9736	3.70863E-09	3.17191E-06	5.01224	0.475364	15.0554	0.00128428
36	0.00896027	0.00102186	0.000125886	0.0323216	5.57893	1.84388	7.79385	0.000725565	108.414	292938	3.44494E-08	4.44284E-05	1.06855E-15	0.256182	2.32412	1.31234	2.39035	1.31179	9.53613E-13	27.8473	49218.5	44.8757	0.275006	0.000138509	0.493496	0.000441936	1.02475	7.56686	41.5972	1.42402E-09	1.51886E-06	5.15113	0.493348	15.3026	0.00120905
37	0.00896008	0.00102096	0.000124971	0.0320771	5.56466	2.52021	7.14901	0.000984995	114.636	297032	1.41569E-08	2.46751E-05	1.21653E-14	0.228365	2.20392	1.52812	2.4367	1.30952	2.81366E-13	24.793	45611.3	52.2962	0.346771	0.000137461	0.521547	0.000271824	0.971636	7.57013	43.994	5.46666E-10	7.24996E-07	5.32445	0.492351	15.4408	0.0011666
38	0.00896091	0.00101979	0.000123727	0.0317588	5.52268	3.2912	6.54833	0.00125493	120.337	301201	5.80411E-09	1.36593E-05	1.92039E-13	0.211077	2.08413	1.74282	2.48755	1.30134	8.30178E-14	22.4392	42282.7	60.4594	0.453547	0.000136109	0.570046	0.000166268	0.918838	7.58132	46.19	2.09825E-10	3.45162E-07	5.49703	0.489336	15.5199	0.00115913
39	0.00895834	0.00101948	0.000123712	0.0317785	5.60401	4.15149	6.04942	0.00165781	125.469	305402	2.37443E-09	7.53989E-06	4.30039E-12	0.200406	1.97837	1.95581	2.53202	1.31621	2.44946E-14	20.7463	39213	70.1606	0.609312	0.000136151	0.643805	0.000101201	0.872307	7.56068	48.1663	8.05261E-11	1.63954E-07	5.64932	0.495117	15.566	0.0011895
